id;description;url;format;poids;id_pers;id_info
43;Zinédine Zidane;http://a.espncdn.com/combiner/i/?img=/photo/2016/1205/r159891_1296x729_16-9.jpg&site=espnfc;jpg;10;37;
44;La Fouine;https://4.bp.blogspot.com/-_uPYyVbEDCg/UR6M0lUAubI/AAAAAAAAAkA/Gh0ROkE1jt8/s1600/Ears_and_eyes_magazine_la_fouine.jpg;jpg;10;38;
45;Usul;https://media.senscritique.com/media/000006484900/1200/3615_Usul.jpg;jpg;10;39;
46;Alain Juppé;https://s.yimg.com/ny/api/res/1.2/cRPVTPF3vCAQ3DOTOME5Yw--~A/YXBwaWQ9aGlnaGxhbmRlcjtzbT0xO3c9NzY4O2g9NTEyO2lsPXBsYW5l/http://media.zenfs.com/fr_FR/News/AFP/dacad91beaead4c693551ae1f2f7eb9ba6915516.jpg;jpg;10;40;
47;Xavier Niel;https://upload.wikimedia.org/wikipedia/commons/3/38/Xavier_Niel004.jpg;jpg;10;41;
48;Sans (Undertale);https://i.ytimg.com/vi/nJ2-SHEkS9k/maxresdefault.jpg;jpg;10;42;
49;Sans T-pose (Undertale);https://i.ytimg.com/vi/v6kLr4fQoGk/maxresdefault.jpg;jpg;5;42;
50;Yoda;http://starwarsblog.starwars.com/wp-content/uploads/sites/6/2017/05/yoda-advice-decide-you-must-how-to-serve-them-best.jpg;jpg;10;43;
51;Yoda jeune;https://i.pinimg.com/originals/d7/e0/34/d7e034631346bc34127ed55c9e5bdd7d.jpg;jpg;2;43;
52;Christophe Barbier;https://lesobservateurs.ch/wp-content/uploads/2016/11/christophe-barbier-448x293.jpg;jpg;10;44;
53;Pascal Praud;https://pbs.twimg.com/media/D6XJBhIWwAAyT54?format=jpg&name=large;jpg;10;45;
54;Éric Brunet;https://static.actu.fr/uploads/2019/05/brunet.jpg;jpg;10;46;
55;Raphaël Enthoven;https://upload.wikimedia.org/wikipedia/commons/4/48/Rapha%C3%ABl_ENTHOVEN.JPEG;jpg;10;47;
56;Édouard Philippe;https://cdn3.img.sputniknews.com/images/105362/96/1053629674.jpg;jpg;10;48;
57;Philippe Martinez;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/PhilippeMartinez.jpg/220px-PhilippeMartinez.jpg;jpg;10;49;
58;Pierre Ménès;https://img.20mn.fr/KPGTsoRrSG-kD81TSqjW6g/2048x1536-fit_pierre-menes-roland-garros-25-mai-2016.jpg;jpg;10;50;
59;Banksy;https://i.ytimg.com/vi/Xoe3Nn5vuBg/maxresdefault.jpg;jpg;10;51;
60;Le Pape François;https://images.radio-canada.ca/q_auto,w_1250/v1/ici-info/16x9/pape-irlande.jpg;jpg;10;52;
61;Vladimir Poutine;https://upload.wikimedia.org/wikipedia/commons/8/87/Vladimir_Putin_%26_Donald_Trump_in_Helsinki%2C_16_July_2018_%288%29_%28cropped%29.jpg
62;Alexandre Benalla;https://thenypost.files.wordpress.com/2018/09/emmanuel-macron-bodyguard-alexandre-benalla.jpg?quality=90&strip=all&w=1200;jpg;10;54;
63;Patrick Balkany;https://babelio.com/users/AVT_Patrick-Balkany_3547.jpeg;jpg;10;55;
64;Gérard Collomb;http://www.luciassociation.org/wp-content/uploads/2016/12/Gerard-Collomb-Maire-de-Lyon-lr-1.jpg;jpg;10;56;
65;Un policier;https://fr.rt.com/french/images/2016.10/article/580683dbc46188e37f8b4625.jpg;jpg;10;57;
