id;nom;nom_en;nom_colle;poids;adjm;adjf;departement;emoji;type
97;Caen;;Caen;10;caennais;caennaise;14;🇫🇷;ville
98;Limoges;;Limoges;10;limougeaud;limougeaude;87;🇫🇷;ville
99;Laval;;Laval;10;lavallois;lavalloise;53;🇫🇷;ville
100;Alençon;;Alençon;10;alençonnais;alençonnaise;61;🇫🇷;ville
101;Barcelone;Barcelona;Barcelone;10;barcelonais;barcelonaise;;🇪🇸;ville
102;Berlin;Berlin;Berlin;10;berlinois;berlinoise;;🇩🇪;ville
103;Londres;London;Londres;10;londonien;londonienne;;🇬🇧;ville
104;Pékin;Beijing;Pékin;10;pékinois;pékinoise;;🇨🇳;ville
105;New York;New York City;NYC;10;new yorkais;new yorkaise;;🇺🇸;ville
106;Bruxelles;Brussels;Bruxelles;10;bruxellois;bruxelloise;;🇧🇪;ville
107;Rome;Rome;Rome;10;romain;romaine;;🇮🇹;ville
108;Moscou;Moscow;Moscou;10;moscovite;moscovite;;🇷🇺;ville
109;la Bretagne;Brittany;{rand(Bretagne,Breizh,BZH)};10;breton;bretonne;;🇫🇷;region
110;la Normandie;Normandy;Normandie;10;normand;normande;;🇫🇷;region
111;le Nord-Pas-De-Calais;Nord-Pas-De-Calais;{rand(NordPasDeCalais,NPDC)};10;nord-pas-de-calaisien;nord-pas-de-calaisienne;;🇫🇷;region
112;les Hauts-de-France;Hauts-de-France;HautsDeFrance;10;des Hauts-de-France;des Hauts-de-France;;🇫🇷;region
113;la Picardie;Picardy;Picardie;10;picard;picarde;;🇫🇷;region
114;la Corse;Corsica;Corse;10;corse;corse;;🇫🇷;region
115;le Pays Basque;Basque Country;PaysBasque;10;basque;basque;;🇫🇷;region
116;le Québec;Quebec;Québec;10;québécois;québécoise;;🇨🇦;region
117;le Berry;Berry;Berry;10;berrichon;berrichonne;;🇫🇷;region
118;la Sologne;Sologne;Sologne;10;solognot;solognotte;;🇫🇷;region
119;les Pays de la Loire;Pays de la Loire;PaysDeLaLoire;10;ligérien;ligérienne;;🇫🇷;region
120;le Limousin;Limousin;Limousin;10;limousin;limousine;;🇫🇷;region
121;l’Auvergne;Auvergne;Auvergne;10;auvergnat;auvergnate;;🇫🇷;region
122;l’Île-de-France;Île-de-France;{rand(ÎleDeFrance,IDF)};10;francilien;francilienne;;🇫🇷;region
123;l’Alsace;Alsace;Alsace;10;alsacien;alsacienne;;🇫🇷;region
124;la Lorraine;Lorraine;Lorraine;10;lorrain;lorraine;;🇫🇷;region
125;le Béarn;Béarn;Béarn;10;béarnais;béarnaise;;🇫🇷;region
126;l’Occitanie;Occitania;Occitanie;10;occitan;occitane;;🇫🇷;region
127;la Catalogne;Catalonia;Catalogne;10;catalan;catalane;;🇪🇸;region
128;l’Angleterre;England;Angleterre;10;anglais;anglaise;;🏴󠁧󠁢󠁥󠁮󠁧󠁿;region
129;l’Écosse;Scotland;Écosse;10;écossais;écossaise;;🏴󠁧󠁢󠁳󠁣󠁴󠁿;region
130;le Pays de Galles;Wales;PaysDeGalles;10;gallois;galloise;;🏴󠁧󠁢󠁷󠁬󠁳󠁿;region
131;l’Irlande du Nord;Northern Ireland;IrlandeDuNord;10;nord-irlandais;nord-irlandaise;;🇬🇧;region
132;l’Europe;Europe;Europe;10;européen;européenne;;🇪🇺;region
133;l’Union Européenne;European Union;{rand(UnionEuropéenne,UE)};10;européen;européenne;;🇪🇺;region
134;l’Ardèche;Ardèche;Ardèche;10;ardéchois;ardéchoise;;🇫🇷;region
135;le Larzac;Larzac;Larzac;10;du Larzac;du Larzac;;🇫🇷;region
136;la Mayenne;Mayenne;Mayenne;10;mayennais;mayennaise;;🇫🇷;region
137;la Vendée;Vendée;Vendée;10;vendéen;vendéenne;;🇫🇷;region
138;Brive-la-Gaillarde;;BriveLaGaillarde;10;briviste;briviste;19;🇫🇷;ville
