id,commun,nom,pascal_case,weight,genre,nombre,qte,categories,origine,cw
146,,Stéphane Plaza,StéphanePlaza,2,M,S,1,tv,1,
147,,Jean-Claude Van Damme,JCVD,10,M,S,1,culture cinema,8,
148,,IbraTV,IbraTV,5,M,S,1,internet youtube,1,
149,,Antoine Griezmann,(Antoine)?Griezmann,10,M,S,1,sport foot,1,
150,,Lacrim,Lacrim,10,M,S,1,culture musique,1,
151,"{ .lieu = Lieu(region,etat,departement) }","un indépendantiste ({ .lieu.adj(M,S) }|{ .lieu.comp_explicite })",Indépendantiste{ .lieu.pascal_case },10,M,S,1,politique,,
152,,Damien Saez,DamienSaez,10,M,S,1,culture musique,1,
153,,Jérôme Cahuzac,JérômeCahuzac,3,M,S,1,politique gauche,1,
154,,François Ruffin,(François)?Ruffin,10,M,S,1,politique gauche,1,
155,,George W. Bush,(GeorgeW)?Bush,10,M,S,1,politique droite,3,
156,,Éric Judor,ÉricJudor,5,M,S,1,culture humour cinema,1,
157,,Benjamin Netanyahu,(Benjamin)?Netanyahu,7,M,S,1,politique droite,23,
158,{ .acteur1 = Pers }|{ $info.not_sujet({ .id }); .acteur1 = $info.sujet }|{ $info.not_objet({ .id }); .acteur1 = $info.objet },{ .acteur1.comp(le fils caché) },FilsCachéDe{ .acteur1.pascal_case },10,M,S,1,,,
159,"{ .bord = s(indépendantiste { `.lieu = Lieu(region,etat,departement)`.adj(M,S) }|d’ultra-gauche|d’ultra-droite|d’ultra-centre|d’extrême-gauche|d’extrême-droite|d’extrême-centre|de centre-gauche|de la droite modérée|écologiste|anarchiste) }",un terroriste { .bord },Terroriste,10,M,S,1,politique ,,
160,,Julien Coupat,JulienCoupat,5,M,S,1,politique ext_gauche,1,
161,,Rohff,Rohff,10,M,S,1,culture musique,1,
163,,Garfield,Garfield,10,M,S,1,non_humain fiction bd,3,
164,,Jean-Pierre Foucault,JeanPierreFoucault,5,M,S,1,tv,1,
165,,David Guetta,DavidGuetta,5,M,S,1,culture musique,1,
166,,Jack Dorsey,Jack(Dorsey)?,10,M,S,1,patronat gafam,3,
167,,Benoît Hamon,(Benoît)?Hamon,10,M,S,1,politique gauche ecolo,1,
168,{ .orga = Orga },"un militant ({ .orga.adj(M,S) }|{ .orga.sigle })",Militant{ .orga.pascal_case },10,M,S,1,politique ,,
169,,Jeremy Corbyn,(Jeremy)?Corbyn,10,M,S,1,politique gauche,4,
170,,un CRS,CRS,10,M,S,1,,1,
171,,Gérard Depardieu,(Gérard)?Depardieu,3,M,S,1,culture cinema,1,
172,,Slavoj Žižek,Žižek|Zizek,10,M,S,1,litterature,,
173,,PewDiePie,PewDiePie,10,M,S,1,internet videaste youtube jeu_video,40,
175,,Plantu,Plantu,10,M,S,1,media culture bd,1,
176,,Yann Moix,YannMoix,10,M,S,1,media edito culture cinema litterature,1,
180,,Jay-Z,JayZ,10,M,S,1,culture musique,3,
181,,Nicolás Maduro,Maduro,5,M,S,1,politique gauche,16,
182,,Éric Dupont-Moretti,(Éric)?DupontMoretti,10,M,S,1,politique centre droite,1,
183,,un homme,UnHomme,10,M,S,1,,,
184,,Reggie Fils-Aimé,Reggie(FilsAimé)?,5,M,S,1,patronat,3,
185,,Antoine Daniel,AntoineDaniel,10,M,S,1,internet youtube twitch,1,
186,,Drake,Drake,10,M,S,1,culture musique,9,
188,,Gad Elmaleh,GadElmaleh,10,M,S,1,culture humour cinema,1,
189,,Philippe Etchebest,(Philippe)?Etchebest,10,M,S,1,tv,1,
192,,François de Rugy,(François)?DeRugy,10,M,S,1,politique centre ecolo,1,
193,,Boris Johnson,BorisJohnson,10,M,S,1,politique droite,4,
194,{ .ville = Lieu(ville) },le maire { .ville.comp_explicite },"Maire{ voy({ .ville.pascal_case },D{ .ville.pascal_case },De{ .ville.pascal_case }) }",10,M,S,1,politique,,
195,,Francky Vincent,FranckyVincent,10,M,S,1,culture musique,1,
196,,6ix9ine,6ix9ine,5,M,S,1,culture musique,3,
197,,Jean-Marie Bigard,(JeanMarie)?Bigard,10,M,S,1,culture humour,1,
198,,Laurent Alexandre,LaurentAlexandre,5,M,S,1,media,1,
199,,la fille qui lit ceci,LaFilleQuiLitCeci,1,F,S,1,,,
200,,Brigitte Macron,BrigitteMacron,10,F,S,1,politique centre droite,1,
202,,Peach,Peach,10,F,S,1,fiction jeu_video,32,
203,,Marie d’Animal Crossing,Marie,10,F,S,1,fiction jeu_video,,
204,,Marine Le Pen,MarineLePen,20,F,S,1,politique ext_droite,1,Marine Le Pen
205,,Alexa,Alexa,5,F,S,1,non_humain gafam,3,
206,,Hillary Clinton,HillaryClinton,5,F,S,1,politique gauche centre,3,
208,,une poule,UnePoule,10,F,S,1,non_humain,,
209,,Natoo,Natoo,10,F,S,1,internet videaste youtube humour,1,
210,,Mylène Farmer,Mylène(Farmer)?,10,F,S,1,culture musique,1,
211,,Arielle Dombasle,ArielleDombasle,10,F,S,1,culture musique cinema,1,
212,,Laurence Boccolini,LaurenceBoccolini,5,F,S,1,tv,1,
213,,Valérie Damidot,ValérieDamidot,2,F,S,1,tv,1,
214,,Aurore Berger,AuroreBerger,10,F,S,1,politique droite,1,
216,,Christine Boutin,ChristineBoutin,7,F,S,1,politique droite ext_droite,1,
217,,Frigide Barjot,FrigideBarjot,3,F,S,1,politique droite ext_droite culture humour,1,
218,,Theresa May,TheresaMay,5,F,S,1,politique droite,4,
219,,Aya Nakamura,AyaNakamura,10,F,S,1,culture musique,1,
220,,Angela Merkel,(Angela)?Merkel,10,F,S,1,politique droite,2,
221,,Isabelle Balkany,IsabelleBalkany,5,F,S,1,politique droite,1,
222,{ .media = Media },une journaliste { .media.comp_explicite },(Journaliste)?{ .media.pascal_case },10,F,S,1,media journalisme,,
223,,Nabilla( Benattia)?,Nabilla,10,F,S,1,tv,1,
224,,Anne Hidalgo,AnneHidalgo,10,F,S,1,politique gauche,57,
226,,(la Reine )Élisabeth II,ElizabethII,10,F,S,1,politique,4,
229,,Élise Lucet,ÉliseLucet,10,F,S,1,media journalisme,1,
230,,Eugénie Bastié,EugénieBastié,5,F,S,1,media edito,1,
231,,Christine and the Queens,ChristineAndTheQueens,10,F,S,1,culture musique,1,
232,,J. K. Rowling,JKRowling,1,F,S,1,culture litterature ext_droite,4,
233,,Brigitte Bardot,BrigitteBardot,5,F,S,1,culture cinema ext_droite,1,
235,,EnjoyPhoenix|Marie Lopez,EnjoyPhoenix,10,F,S,1,internet videaste youtube,1,
236,,Azealia Banks,AzealiaBanks,10,F,S,1,culture musique,3,
237,{ .orga = Orga },"une militante ({ .orga.adj(F,S) }|{ .orga.sigle })",Militante{ .orga.pascal_case },10,F,S,1,politique,,
238,,Kim Kardashian,KimK(ardashian)?,10,F,S,1,tv internet,3,
239,,Marlène Schiappa,(Marlène)?Schiappa,10,F,S,1,politique centre droite,1,
240,,Cristina Cordula,CristinaCordula,1,F,S,1,tv,1,
241,,Valérie Pécresse,(Valérie)?Pécresse,10,F,S,1,politique droite,122,
242,,Beyoncé,Beyoncé,10,F,S,1,culture musique,3,
243,,Nicki Minaj,Nicki(Minaj)?,10,F,S,1,culture musique,3,
245,,Greta Thunberg,GretaThunberg,10,F,S,1,politique ecolo,40,
246,,notre rédactrice en chef,FlashNewsBot,1,F,S,1,media journalisme internet twitter,1,
247,,Benjamin Griveaux,(Benjamin)?Griveaux,5,M,S,1,politique centre droite,1,
248,,Dril,Dril,1,M,S,1,internet twitter humour,3,
249,,Eminem,Eminem,10,M,S,1,culture musique,3,
250,,Hatsune Miku,(Hatsune)?Miku,10,F,S,1,fiction culture musique,11,
251,,Zineb El Rhazoui,ZinebElRhazoui,5,F,S,1,media edito,1,
252,,Clément Viktorovitch,(Clément)?Viktorovitch|Clemovitch,10,M,S,1,media edito internet twitch,1,
253,,Mouloud Achour,MouloudAchour,5,M,S,1,tv culture musique cinema,1,
254,,Jean-Luc Reichmann,JeanLucReichmann,10,M,S,1,tv,1,
255,,(Jair )?Bolsonaro,Bolsonaro,10,M,S,1,politique ext_droite,15,Bolsonaro
256,,Marion Maréchal(-Le Pen)?,MarionMaréchal,10,F,S,1,politique ext_droite,1,
257,,Michel Sardou,(Michel)?Sardou,10,M,S,1,culture musique,1,
258,,Sardoche,Sardoche,10,M,S,1,internet twitch,1,
259,,François Bayrou,(François)?Bayrou,10,M,S,1,politique centre droite,91,
260,,David Pujadas,(David)?Pujadas,5,M,S,1,media journalisme edito,1,
261,,Jean-Pierre Elkabbach,(JeanPierre)?Elkabbach,5,M,S,1,media edito,1,
262,,Roméo Elvis,RoméoElvis,1,M,S,1,culture musique,8,
263,,Angèle,Angèle,10,F,S,1,culture musique,8,
264,,Lomepal,Lomepal,10,M,S,1,culture musique,1,
266,{ .acteur1 = Pers }|{ $info.not_sujet({ .id }); .acteur1 = $info.sujet }|{ $info.not_objet({ .id }); .acteur1 = $info.objet },{ .acteur1.comp(le frère) },"Frère{ f = .acteur1.pascal_case; voy({ f },d{ f },De{ f }) }",10,M,S,1,,,
267,{ .acteur1 = Pers }|{ $info.not_sujet({ .id }); .acteur1 = $info.sujet }|{ $info.not_objet({ .id }); .acteur1 = $info.objet },{ .acteur1.comp(la sœur) },"Sœur{ a = .acteur1.pascal_case; voy({ a },d{ a },De{ a }) }",10,F,S,1,,,
268,{ .lieu = Lieu },"un habitant ({ .lieu.adj(M,S) }|{ .lieu.comp_explicite })",{ .lieu.pascal_case },10,M,S,1,,,
269,{ .lieu = Lieu },"une habitante ({ .lieu.adj(F,S) }|{ .lieu.comp_explicite })",{ .lieu.pascal_case },10,F,S,1,,,
270,,Henri Dès,HenriDès,5,M,S,1,culture musique,19,
271,,Flat Eric,FlatEric,10,M,S,1,fiction non_humain culture musique,1,
275,,Edgar Morin,EdgarMorin,10,M,S,1,culture litterature twitter,1,
276,,MHD,MHD,5,M,S,1,culture musique,1,
280,,Catherine Barma,CatherineBarma,1,F,S,1,tv,1,
281,,Juan Branco,JuanBranco,10,M,S,1,politique gauche media,1,
282,,Élisabeth Lévy,ÉlisabethLévy,10,F,S,1,media edito ext_droite,1,
283,,Bernard-Henri Lévy,BHL,5,M,S,1,media,1,
284,{ .pnl = Pers[1005] },{ .pnl.comp(le (troisième|3e) frère) },3eFrèreDePNL,1,M,S,1,culture musique,1,
287,,Jean-Michel Jarre,JeanMichelJarre,1,M,S,1,culture musique,1,
288,,Madonna,Madonna,10,F,S,1,culture musique,3,
289,,Lula( da Sivla)?,Lula,10,M,S,1,politique gauche,15,
290,,Timothée Chalamet,TimothéeChalamet,10,M,S,1,culture cinema,3,
291,,Léa Salamé,LéaSalamé,10,F,S,1,media journalisme edito,1,
292,,(Sébastien )?Cauet,Cauet,10,M,S,1,tv media,1,
294,,Tex,Tex,5,M,S,1,culture humour tv,1,
296,,Florian Philippot,Philippot,10,M,S,1,politique ext_droite,1,
298,,Alkapote,Alkapote,10,M,S,1,culture musique,1,
301,,les 13 Block,13Block,10,M,P,4,culture musique,1193,
302,,Julien Chièze,JulienChièze,5,M,S,1,media journalisme jeu_video internet videaste,1,
303,,Alain Finkielkraut,Finkie(lkraut)?,10,M,S,1,media edito,1,
305,,Orelsan,Orelsan,10,M,S,1,culture musique,110,
312,,Koba LaD,KobaLaD,10,M,S,1,culture musique,1,
313,,Joaquin Phoenix,JoaquinPhoenix,10,M,S,1,culture cinema,3,
314,,Bong Joon-Ho,BongJoonHo,10,M,S,1,culture cinema,13,
317,,Michel Cymes,MichelCymes,10,M,S,1,tv,1,
318,,Joe Biden,JoeBiden,10,M,S,1,politique gauche centre,3,
319,,Elizabeth Warren,ElizabethWarren,2,F,S,1,politique gauche,3,
320,,Pete Buttigieg,Buttigieg,2,M,S,1,politique gauche centre,3,
321,,Alexandria Ocasio-Cortez,AOC,10,F,S,1,politique gauche,3,
322,,Billie Eilish,BillieEilish,10,F,S,1,culture musique,3,
323,,Philippe Katerine,PhilippeKaterine,5,M,S,1,culture musique cinema,1,
324,,Florence Foresti,FlorenceForesti,5,F,S,1,culture humour,1,
325,,Jean-Michel Aphatie,(JeanMichel)?Aphatie,10,M,S,1,media edito,1,
326,,Nadine Morano,(Nadine)?Morano,10,F,S,1,politique droite,1,
327,,Titeuf,Titeuf,10,M,S,1,fiction bd,1,
329,,Kid Paddle,KidPaddle,5,M,S,1,fiction bd,8,
331,,le coronavirus,Coronavirus,10,M,S,1,non_humain,,
332,,Kéké Laglisse,Kéké(Laglisse)?|KKSlider,10,M,S,1,fiction jeu_video culture musique non_humain,,
333,,Solid Snake,SolidSnake,1,M,S,1,fiction jeu_video,3,
334,,(Didier|le professeur) Raoult,(Didier|Professeur)?Raoult,10,M,S,1,,58,
335,,DJ Snake,DJSnake,5,M,S,1,culture musique,1,
336,,Bob l’Éponge,BoblÉponge,10,M,S,1,fiction non_humain,,
337,,Patrick l’étoile de mer,Patrick(Star|ÉtoileDeMer),5,M,S,1,fiction non_humain,,
338,,Carlo Tentacule,CarloTentacule,5,M,S,1,fiction non_humain,,
339,,Capitaine Krabs,CapitaineKrabs,5,M,S,1,fiction non_humain,,
340,,Nagui,Nagui,10,M,S,1,tv,1,
341,,Olivier Minne,OlivierMinne,5,M,S,1,tv,1,
342,,Alex Vizorek,AlexVizorek,1,M,S,1,media edito culture humour twitch gauche,8,
343,,Charline Vanhoenacker,CharlineVanhoenacker,1,F,S,1,media edito gauche,8,
344,,Guillaume Meurice,GuillaumeMeurice,5,M,S,1,media edito culture humour gauche,1,
346,,Tom Holland,TomHolland,10,M,S,1,culture cinema,4,
347,,Didier Lallement,DidierLallement,10,M,S,1,politique,1,
348,,Niska,Niska,10,M,S,1,culture musique,1,
350,,Rachida Dati,(Rachida)?Dati,10,F,S,1,politique droite,1,
351,,Agnès Buzyn,AgnèsBuzyn,10,F,S,1,politique centre droite,1,
352,,RuPaul,RuPaul,5,M,S,1,tv culture musique,3,
354,,Jean-Michel Blanquer,(JeanMichel)?Blanquer,10,M,S,1,politique droite,1,
355,,Fred Musa,FredMusa,2,M,S,1,culture musique media,1,
356,,Roselyne Bachelot,(Roselyne)?Bachelot,10,F,S,1,politique droite,1,
358,,Britney Spears,Britney(Spears)?,10,F,S,1,culture musique,3,
359,,Sibeth Ndiaye,SibethNdiaye,1,F,S,1,politique centre droite,1,
360,,Sonic( le Hérisson)?,Sonic,10,M,S,1,fiction jeu_video,,
362,,Mr. Resetti,Resetti,10,M,S,1,fiction jeu_video,,
363,,Élisabec,Élisabec,10,F,S,1,fiction jeu_video,,
365,,Yves Calvi,YvesCalvi,2,M,S,1,media edito,1,
367,,Pec,Pec,10,M,S,1,fiction jeu_video,,
368,,Raymond d’Animal Crossing,Raymond,10,M,S,1,fiction jeu_video,,
369,,Olivier Véran,(Olivier)?Véran,10,M,S,1,politique centre droite,1,
370,,Albin d’Animal Crossing,Albin,2,M,S,1,fiction jeu_video,,
371,,Frédérique Vidal,(Frédérique)?Vidal,10,F,S,1,politique centre droite,1,
372,,Joachim Son-Forget,JoachimSonForget,5,M,S,1,politique ext_droite,1,
373,,Michel Onfray,MichelOnfray,10,M,S,1,media edito politique ext_gauche ext_droite,1,
374,,Natacha Polony,(Natacha)?Polony,10,F,S,1,media edito,1,
375,,LinksTheSun,LinksTheSun,10,M,S,1,internet videaste youtube,1,
376,,Rounard,Rounard,10,M,S,1,fiction jeu_video,,
377,,Grimes,Grimes,10,F,S,1,culture musique,9,
378,,X Æ A-12,XÆA12,2,M,S,1,,3,
379,,Laetitia Avia,LaetitiaAvia,2,F,S,1,politique centre droite,1,
380,,Jeffree Star,JeffreeStar,1,M,S,1,internet videaste youtube,3,
381,,James Charles,JamesCharles,1,M,S,1,internet videaste youtube,3,
382,,Siphano,Siphano,2,M,S,1,internet videaste youtube,1,
383,,Jason Derulo,JasonDerulo,5,M,S,1,culture musique,3,
384,,ZeratoR,ZeratoR,10,M,S,1,internet twitch jeu_video,1,
386,,une femme,UneFemme,10,F,S,1,,,
387,,le Dalaï-Lama,DalaïLama,10,M,S,1,politique,10,
388,,Jean Castex,(Jean)?Castex,10,M,S,1,politique droite,1,
389,,Jésus,Jésus,5,M,S,1,fiction,24,
390,,Gérald Darmanin,Darmanin,10,M,S,1,politique droite,1,
391,,Bruno Le Maire,BrunoLeMaire,10,M,S,1,politique centre droite,1,
394,,Philippe de Villiers,PhilippeDeVilliers,10,M,S,1,politique ext_droite,137,
395,,Cisla,Cisla,1,M,S,1,internet jeu_video,1,
396,,Logan Paul,Logan Paul,10,M,S,1,internet videaste youtube,3,
397,,Linus Sebastian,LinusTechTips,2,M,S,1,internet videaste youtube,9,
398,,Freeze Corleone,FreezeCorleone,10,M,S,1,culture musique,1,
399,,Nicolas Bedos,NicolasBedos,10,M,S,1,culture cinema,1,
400,,MisterMV,MisterMV,10,M,S,1,internet twitch jeu_video,1,
401,,Vald,Vald,10,M,S,1,culture musique,87,
1000,,Éric et Ramzy,ÉricEtRamzy,10,M,P,2,culture humour cinema,1,
1001,{ .orga = Orga(parti) },"des militants ({ .orga.adj(M,P) }|{ .orga.sigle })",Militants{ .orga.pascal_case },10,M,P,10,politique,,
1002,{ .acteur1 = Pers }|{ $info.not_sujet({ .id }); .acteur1 = $info.sujet }|{ $info.not_objet({ .id }); .acteur1 = $info.objet },{ .acteur1.comp(le père) },"Père{ f = .acteur1.pascal_case; voy({ f },d{ f },De{ f }) }",10,M,S,10,,,
1003,{ .acteur1 = Pers }|{ $info.not_sujet({ .id }); .acteur1 = $info.sujet }|{ $info.not_objet({ .id }); .acteur1 = $info.objet },{ .acteur1.comp(la mère) },"Mère{ f = .acteur1.pascal_case; voy({ f },d{ f },De{ f }) }",10,F,S,10,,,
1004,{ .lieu = Lieu },"des habitants ({ .lieu.adj(M,P) }|{ .lieu.comp_explicite })",{ .lieu.pascal_case },10,M,P,10,,,
1005,,PNL,PNL,10,M,P,2,culture musique,88,
1006,,Bigflo et Oli,BigfloEtOli,10,M,P,2,culture musique,82,
1007,,les Daft Punk,DaftPunk,10,M,P,2,culture musique,1,
1008,,McFly et Carlito,McFlyEtCarlito,10,M,P,2,internet videaste youtube,1,
1009,,100 gecs,100gecs,10,M,P,2,culture musique,3,
1010,{ .acteur1 = Pers(S); .acteur2 = Pers(S) },{ .acteur1.tonique } et { .acteur2.tonique },{ .acteur1.pascal_case }Et{ .acteur2.pascal_case },200,C,P,2,,,
1011,{ .acteur1 = Pers(S); .acteur2 = Pers(S); .acteur3 = Pers(S) },"{ .acteur1.tonique }, { .acteur2.tonique } et { .acteur3.tonique }",{ .acteur1.pascal_case }{ .acteur2.pascal_case }Et{ .acteur3.pascal_case },70,C,P,3,,,
1012,,Yannick Jadot,(Yannick)?Jadot,10,M,S,1,politique gauche ecolo,1,
1013,,Jean Lassalle,JeanLassalle,5,M,S,1,politique centre droite,125,
1014,,Arnaud Montebourg,Montebourg,10,M,S,1,politique gauche,1,
1015,,Fabien Roussel,(Fabien)?Roussel,10,M,S,1,politique gauche,1,
1016,,Antoine Waechter,(Antoine)?Waechter,1,M,S,1,politique centre ecolo,1,
1017,,Éric Drouet,ÉricDrouet,5,M,S,1,politique,1,
