id,value,weight,pers
426,le philosophe,10,248
427,le penseur,10,248
428,le twitto,10,248
429,le twitto anonyme,10,248
430,Wint,10,248
431,le rappeur,10,249
432,le rappeur américain,10,249
433,la chanteuse,10,250
434,la chanteuse virtuelle,10,250
435,la créatrice de Minecraft,1,250
436,Miku,10,250
437,la journaliste,10,251
438,le professeur de rhétorique,10,252
439,le chroniqueur,10,252
440,le journaliste,10,253
441,l’animateur,10,254
442,le président brésilien,10,255
443,la femme politique,10,256
445,le chanteur,10,257
447,le streameur,10,258
448,le streameur salé,1,258
449,l’homme politique,10,259
450,le maire de Pau,10,259
451,le président du MoDem,10,259
452,le journaliste,10,260
453,le journaliste,10,261
454,la femme,10,267
455,l’homme,10,268
456,la femme,10,269
457,le chanteur,10,270
458,le chanteur pour enfants,10,270
459,le chanteur à textes,10,270
460,la marionnette,10,271
468,le philosophe,10,275
469,le résistant,10,275
470,le rappeur,10,276
471,le « petit prince de l’afrotrap »,5,276
480,la productrice,10,280
481,l’avocat,10,281
482,le pamphlétaire,10,281
483,l’essayiste,10,282
484,la polémiste,10,282
485,le philosophe,10,283
486,l’homme,10,284
487,le rappeur blanc,10,262
488,le rappeur blanc,10,264
491,l’artiste,10,287
492,le pape de la musique électronique,10,287
493,la chanteuse,10,288
494,l’ancien président brésilien,10,289
495,l’acteur,10,290
496,l’acteur franco-américain,10,290
508,le rappeur,10,262
509,le rappeur belge,10,262
510,la chanteuse,10,263
511,le rappeur,10,264
512,l’homme,10,266
514,la journaliste,10,291
515,l’animateur,10,292
518,l’humoriste,10,294
519,Jean-Christophe Le Texier,1,294
520,{ Pers[13].comp(le cousin) },1,294
525,l’homme politique,10,296
527,le rappeur,10,298
528,le rappeur conscient,5,298
534,le journaliste,10,302
535,le journaliste indépendant,10,302
536,le journaliste jeux vidéo,10,302
537,le philosophe,10,303
538,l’essayiste,10,303
541,le rappeur,10,305
548,le rappeur,10,312
549,l’acteur,10,313
550,le comédien,10,313
552,le cinéaste,10,314
553,le cinéaste coréen,10,314
554,le cinéaste à la Palme d’Or,10,314
559,le médecin,10,317
560,le médecin préféré des Français,10,317
561,le médecin du PAF,10,317
562,le président américain,10,318
564,l’ancienne candidate à la primaire démocrate,10,319
565,l’ancien candidat à la primaire démocrate,10,320
566,la représentante américaine,10,321
567,la chanteuse,10,322
568,la chanteuse américaine,10,322
569,le chanteur,10,323
570,le comédien,10,323
571,l’humoriste,10,324
572,le journaliste,10,325
573,la femme politique,10,326
575,le jeune garçon,10,327
578,le héros de bande dessinée,10,327
580,le jeune joueur,10,329
581,le gamer,10,329
584,le virus,10,331
585,le chanteur,10,332
586,le musicien,10,332
587,l’auteur-compositeur-interprète,10,332
588,le soldat( américain)?,10,333
589,le chercheur,10,334
590,le chercheur marseillais,10,334
591,le druide,1,334
592,le disk jockey,10,335
593,le directeur de l’IHU Méditerranée Infection,10,334
594,l’éponge carrée,10,336
595,l’étoile de mer,10,337
596,la pieuvre,10,338
597,le restaurateur,10,339
598,l’animateur,10,340
599,l’animateur TV,10,340
600,l’animateur radio,10,340
601,le présentateur de “N’oubliez Pas Les Paroles”,10,340
603,l’animateur,10,341
604,l’animateur TV,10,341
605,le présentateur de “Fort Boyard”,10,341
606,l’humoriste belge,10,342
607,l’animateur radio,10,342
608,la journaliste,10,343
609,l’animatrice radio,10,343
610,l’animatrice de France Inter,10,343
611,l’humoriste,10,344
612,le chroniqueur,10,344
613,l’animateur de France Inter,10,342
614,l’“homme dans la mâle”,10,137
616,l’acteur,10,346
617,le préfet de police,10,347
618,le préfet de police de Paris,10,347
619,le rappeur,10,348
625,la femme politique,10,350
626,l’ex-candidate à la mairie de Paris,10,350
627,l’ex-Ministre de la santé,10,351
629,la drag queen,10,352
630,la drag queen américaine,10,352
631,“Mama Ru”,10,352
633,le Ministre de l’Éducation Nationale,10,354
634,l’animateur radio,10,355
635,l’animateur de “Planète Rap”,10,355
636,la Ministre de la Culture,10,356
640,la chanteuse,10,358
642,l’ex-porte-parole du gouvernement,10,359
643,le hérisson,10,360
647,le mineur,10,362
648,la guichetière,10,363
649,la guichetière à la retraite,10,363
652,le journaliste,10,365
657,le sportif,10,367
658,l’oiseau,10,367
659,le businessman,10,368
660,le businesscat,10,368
661,le Ministre de la Santé,10,369
662,le lapin,10,370
663,le lapin non-costumé,10,370
664,la Ministre de l’Enseignement Supérieur et de la Recherche,10,371
665,le député,10,372
666,l’essayiste,10,373
667,l’essayiste,10,374
668,le youtubeur,10,375
669,le vidéaste,10,375
670,le critique musical,10,375
671,le marchand d’art,10,376
672,la chanteuse,10,377
673,la chanteuse canadienne,10,377
674,le fils d’Elon Musk,10,378
675,le fils d’Elon Musk et Grimes,10,378
676,la députée,10,379
677,le vidéaste,10,380
678,le youtubeur beauté,10,380
679,le vidéaste,10,381
680,le youtubeur beauté,10,381
681,le vidéaste,10,382
682,le youtubeur,10,382
683,le chanteur,10,383
684,le chanteur américain,10,383
685,Adrien Nagouret,10,384
686,le streameur,10,384
689,la femme,10,386
690,le chef bouddhiste,10,387
691,le chef spirituel,10,387
692,le Premier Ministre,10,388
694,le Ministre de la Justice,10,182
695,le Garde des Sceaux,10,182
696,le Christ,10,389
697,le messie,10,389
698,le Ministre de l’Intérieur,10,390
699,le Ministre de l’Économie,10,391
700,le Ministre de l’Économie et des Finances,10,391
703,le haut-fonctionnaire,10,394
704,le modérateur de JeuxVidéo.com,10,395
705,le modérateur historique du Blabla 15-18 ans,10,395
706,le youtubeur américain,10,396
707,le youtubeur,10,397
708,le youtubeur tech,10,397
709,le rappeur,10,398
710,le fondateur du 667,10,398
711,le cinéaste,10,399
712,le comédien,10,399
713,Xavier Dang,10,400
714,le streameur,10,400
715,le streameur et compositeur,10,400
716,le rappeur,10,401
717,le rappeur d’Aulnay-sous-Bois,10,401
1000,le candidat à l’élection présidentielle,10,6
1001,le candidat insoumis,10,6
1002,le candidat insoumis à l’élection présidentielle,10,6
1004,le youtubeur,10,14
1006,l’auteur du « Temps des Tempêtes »( sur Audible)?,1,23
1007,le patron de Facebook,20,26
1008,le patron d’Amazon,20,27
1009,l’éditorialiste politique,10,39
1010,le chroniqueur de Mediapart,10,39
1011,le chroniqueur de Backseat,10,39
1012,le PDG de Free,10,41
1013,“Ye”,10,81
1014,le Président du groupe (LREM|LaREM|La République en Marche) à l’Assemblée Nationale,10,86
1015,l’entraîneur du Stade Rennais FC,10,109
1016,l’attaquant de l’AC Milan,10,110
1017,le milieu de terrain de l’Inter Miami,10,112
1018,l’avant-centre du Real Madrid,10,129
1019,le candidat à l’élection présidentielle,10,142
1020,le président de Debout la France,10,142
1021,l’attaquant de l’Atlético de Madrid,10,149
1022,le chanteur misogyne,5,152
1023,l’individu,10,159
1024,le streameur,10,185
1025,le mangeur de homard,1,192
1026,les militants,10,1001
1027,la candidate à l’élection présidentielle,10,241
1028,la candidate à l’élection présidentielle,10,204
1030,les rappeurs,10,1005
1031,les rappeurs originaires de Corbeil-Essonnes,10,1005
1032,l’« ange noir de Saint-Germain-des-Prés »,10,281
1033,les rappeurs,10,1006
1034,les rappeurs toulousains,10,1006
1035,les musiciens,10,1007
1036,les musiciens mythiques,10,1007
1037,les papes de la French Touch,10,1007
1038,les rappeurs,10,301
1039,le rappeur originaire de Caen,10,305
1040,les youtubeurs,10,1008
1041,le mineur à la retraite,10,362
1042,l’“abject Darmanin”,1,390
1043,l’“abject Darmanin” d’après { Pers.tonique },1,390
1044,Laura Les et Dylan Brady,10,1009
1045,le député européen,10,1012
1046,le candidat( écologiste)? à l’élection présidentielle,10,1012
1047,le député des Pyrénées-Atlantiques,10,1013
1048,le candidat à l’élection présidentielle,10,1013
1049,l’ancien Ministre du Redressement productif,10,1014
1050,le candidat à l’élection présidentielle,10,1014
1051,le secrétaire national du Parti Communiste,10,1015
1052,le candidat( communiste)? à l’élection présidentielle,10,1015
1053,le candidat à l’élection présidentielle,10,1016
1054,le (militant )?gilet jaune,10,1017
1055,le syndicaliste SUD Rail,10,1018
1056,le candidat( trotskyste)? à l’élection présidentielle,10,1018
1057,le président de République Souveraine,10,1019
1058,l’ex-candidat à la primaire écologiste,10,1020
1059,le maire de Grenoble,10,1021
1060,l’ex-Ministre de l’écologie,10,1022
1061,l’ex-candidate à la primaire écologiste,10,1023
1062,le maire du Mans,10,1024
1063,le député des Alpes-Maritimes,10,1025
1064,le négociateur du Brexit pour la France,10,1026
1065,le Président de la Région Hauts-de-France,10,1027
1066,"{ p = Pers }celui { que({ p.sujet({ p.pn(appelle,appelles,appelle,appelons,appelez,appellent) }) }) } “le prouteur”",1,1027
1067,l’homme politique( du Nord)?,10,1028
1068,la femme politique,10,1029
1069,la girlboss,1,1029
1070,le président français,10,1030
1071,l’homme politique,10,1031
1072,l’homme politique,10,1032
1073,le président de Debout le Peuple,10,1032
1074,le défenseur du FC Silmi,10,1033
1075,le milieu de terrain du FC Silmi,10,1034
1076,le milieu de terrain du FC Silmi,10,1035
1077,le milieu de terrain du FC Silmi,10,1036
1078,l’attaquant du FC Silmi,10,1037
1079,l’attaquant du FC Silmi,10,1038
1080,le butteur du FC Silmi,10,1039
1081,le streameur,10,1040
1082,Pierre-Alexis Bizot,10,1040
1083,le streameur,10,1041
1084,le « roi des fleurs »,5,1041
1085,le streameur,10,1042
1086,le streameur fan de Questions Pour Un Champion,5,1042
1087,le porte parole du gouvernement,10,1043
1088,la vice-présidente américaine,10,1044
1089,le héros,10,1045
1090,l’avocat russe,10,1046
1091,le militant russe,10,1046
1092,le chanteur,10,1047
1093,le militant anti-masque,10,1047
1094,le militant antivax,10,1047
1095,le gaulois,10,1048
1096,le guerrier,10,1048
1097,le gaulois,10,1049
1098,le guerrier,10,1049
1099,le chien,10,1050
1100,le druide,10,1051
1101,{ .pers.origine.comp(le chef) },10,1052
1102,le barde,10,1053
1103,le commerçant,10,1054
1104,l’ancien Premier Ministre,10,1055
1105,le lapin,10,1056
1106,le canard,10,1057
1107,la lapine,10,1058
1108,l’ancien directeur de la rédaction de Libération,10,1059
1109,l’ancien directeur de la rédaction du Nouvel Obs,10,1059
1110,le journaliste(-streameur)?,10,1060
1111,l’animateur de Questions Pour Un Champion,10,1060
1112,la comédienne( américaine)?,10,1061
1113,l’épouse du prince Harry,5,1061
1114,le duc de Sussex,10,1062
1115,le duc de Cambridge,10,1063
1116,l’héritier du trône britannique,10,1063
1117,l’épouse du prince William,10,1064
1118,la duchesse de Cambridge,10,1064
1119,les militants en ligne,10,1065
1120,le journaliste militant,10,1066
1121,les étudiants,10,1068
1122,les militantes,10,1069
1123,le chanteur,10,1070
1124,les militants,10,1071
1125,le putois,10,1073
1126,le reporter,10,1074
1127,le marin,10,1075
1128,le chercheur,10,1077
1129,le scientifique,10,1077
1130,les décideurs,10,1078
1131,le chien,10,1076
1132,le youtubeur d’extrême-droite,10,1079
1133,le youtubeur,10,1080
